time_alpha,amp_alpha,time_gamma,amp_gamma
0,0,0.537302,-1.000000
0.539973,-1.000000,0,0
0,0,0.539973,-1.000000
0.542644,-1.000000,0,0
0,0,0.542644,-1.000000
0.545315,-1.000000,0,0
0,0,0.545315,-1.000000
0.547986,-1.000000,0,0
0,0,0.547986,-1.000000
0.550657,-1.000000,0,0
0,0,0.550657,-1.000000
0.553329,-1.000000,0,0
0,0,0.553329,-1.000000
0.556000,-1.000000,0,0
0,0,0.556000,-1.000000
0.558671,-1.000000,0,0
0,0,0.558671,-1.000000
0,0,0.561342,-1.000000
0.561342,-1.000000,0,0
0,0,0.564013,-1.000000
0.564013,-1.000000,0,0
0.566685,-1.000000,0,0
0,0,0.566685,-1.000000
0.569356,-1.000000,0,0
0,0,0.569356,-1.000000
0.572027,-1.000000,0,0
0,0,0.572027,-1.000000
0.574698,-1.000000,0,0
0,0,0.574698,-1.000000
0.577369,-1.000000,0,0
0,0,0.577369,-1.000000
0.580041,-1.000000,0,0
0,0,0.580041,-1.000000
0.582712,-1.000000,0,0
0,0,0.582712,-1.000000
0.585383,-1.000000,0,0
0,0,0.585383,-1.000000
0.588054,-1.000000,0,0
0,0,0.588054,-1.000000
0,0,0.590725,-1.000000
0.590725,-1.000000,0,0
0.593396,-1.000000,0,0
0,0,0.593396,-1.000000
0.596068,-1.000000,0,0
0,0,0.596068,-1.000000
0,0,0.598739,-1.000000
0.598739,-1.000000,0,0
0.601410,-1.000000,0,0
0,0,0.601410,-1.000000
0.604081,-1.000000,0,0
0,0,0.604081,-1.000000
0.606752,-1.000000,0,0
0,0,0.606752,-1.000000
0.609423,-1.000000,0,0
0,0,0.609423,-1.000000
0.612095,-1.000000,0,0
0,0,0.612095,-1.000000
0.614766,-1.000000,0,0
0,0,0.614766,-1.000000
0.617437,-1.000000,0,0
0,0,0.617437,-1.000000
0.620108,-1.000000,0,0
0,0,0.620108,-1.000000
0,0,0.622779,-1.000000
0.622779,-1.000000,0,0
0.625451,-1.000000,0,0
0,0,0.625451,-1.000000
0.628122,-1.000000,0,0
0,0,0.628122,-1.000000
0,0,0.630793,-1.000000
0.630793,-1.000000,0,0
0.633464,-1.000000,0,0
0,0,0.633464,-1.000000
0.636135,-1.000000,0,0
0,0,0.636135,-1.000000
0.638807,-1.000000,0,0
0,0,0.638807,-1.000000
0.641478,-1.000000,0,0
0,0,0.641478,-1.000000
0.644149,-1.000000,0,0
0,0,0.644149,-1.000000
0.646820,-1.000000,0,0
0,0,0.646820,-1.000000
0.649491,-1.000000,0,0
0,0,0.649491,-1.000000
0.652162,-1.000000,0,0
0,0,0.652162,-1.000000
0.654834,-1.000000,0,0
0,0,0.654834,-1.000000
0.657505,-1.000000,0,0
0,0,0.657505,-1.000000
0,0,0.660176,-1.000000
0.660176,-1.000000,0,0
0.662847,-1.000000,0,0
0,0,0.662847,-1.000000
0.665518,-1.000000,0,0
0,0,0.665518,-1.000000
0,0,0.668189,-1.000000
0.668189,-1.000000,0,0
0.670861,-1.000000,0,0
0,0,0.670861,-1.000000
0,0,0.673532,-1.000000
0.673532,-1.000000,0,0
0.676203,-1.000000,0,0
0,0,0.676203,-1.000000
0.678874,-1.000000,0,0
0,0,0.678874,-1.000000
0.681545,-1.000000,0,0
0,0,0.681545,-1.000000
0.684217,-1.000000,0,0
0,0,0.684217,-1.000000
0.686888,-1.000000,0,0
0,0,0.686888,-1.000000
0.689559,-1.000000,0,0
0,0,0.689559,-1.000000
0.692230,-1.000000,0,0
0,0,0.692230,-1.000000
0,0,0.694901,-1.000000
0.694901,-1.000000,0,0
0.697573,-1.000000,0,0
0,0,0.697573,-1.000000
0.700244,-1.000000,0,0
0,0,0.700244,-1.000000
0,0,0.702915,-1.000000
0.702915,-1.000000,0,0
0.705586,-1.000000,0,0
0,0,0.705586,-1.000000
0.708257,-1.000000,0,0
0,0,0.708257,-1.000000
0.710928,-1.000000,0,0
0,0,0.710928,-1.000000
0.713600,-1.000000,0,0
0,0,0.713600,-1.000000
0.716271,-1.000000,0,0
0,0,0.716271,-1.000000
0.718942,-1.000000,0,0
0,0,0.718942,-1.000000
0.721613,-1.000000,0,0
0,0,0.721613,-1.000000
0.724284,-1.000000,0,0
0,0,0.724284,-1.000000
0.726955,-1.000000,0,0
0,0,0.726955,-1.000000
0.729627,-1.000000,0,0
0,0,0.729627,-1.000000
0.732298,-1.000000,0,0
0,0,0.732298,-1.000000
0.734969,-1.000000,0,0
0,0,0.734969,-1.000000
0.737640,-1.000000,0,0
0,0,0.737640,-1.000000
0.740311,-1.000000,0,0
0,0,0.740311,-1.000000
0.742983,-1.000000,0,0
0,0,0.742983,-1.000000
0.745654,-1.000000,0,0
0,0,0.745654,-1.000000
0.748325,-1.000000,0,0
0,0,0.748325,-1.000000
0.750996,-1.000000,0,0
0,0,0.750996,-1.000000
0.753667,-1.000000,0,0
0,0,0.753667,-1.000000
0.756339,-1.000000,0,0
0,0,0.756339,-1.000000
0.759010,-1.000000,0,0
0,0,0.759010,-1.000000
0.761681,-1.000000,0,0
0,0,0.761681,-1.000000
0.764352,-1.000000,0,0
0,0,0.764352,-1.000000
0.767023,-1.000000,0,0
0,0,0.767023,-1.000000
0.769694,-1.000000,0,0
0,0,0.769694,-1.000000
0.772366,-1.000000,0,0
0,0,0.772366,-1.000000
0.775037,-1.000000,0,0
0,0,0.775037,-1.000000
0.777708,-1.000000,0,0
0,0,0.777708,-1.000000
0.780379,-1.000000,0,0
0,0,0.780379,-1.000000
0.783050,-1.000000,0,0
0,0,0.783050,-1.000000
0.785722,-1.000000,0,0
0,0,0.785722,-1.000000
0.788393,-1.000000,0,0
0,0,0.788393,-1.000000
0.791064,-1.000000,0,0
0,0,0.791064,-1.000000
0.793735,-1.000000,0,0
0,0,0.793735,-1.000000
0.796406,-1.000000,0,0
0,0,0.796406,-1.000000
0.799078,-1.000000,0,0
0,0,0.799078,-1.000000
